model,level,scope,distance_version,n,rho,p_value,ci_low,ci_high
overall,row,all_pairs,core,792,-0.22729368849717116,9.710233702358953e-11,-0.2923284785405479,-0.1601662303413951
overall,row,all_pairs,extended,792,-0.1791453743685063,3.880200066089187e-7,-0.24574208104357106,-0.11086542023705888
overall,row,different_species_only,core,756,-0.18331676872349414,3.8728179744104494e-7,-0.2513353625691619,-0.11349645624724347
overall,row,different_species_only,extended,756,-0.12992459715048887,3.414751654661373e-4,-0.1993813499991205,-0.059168898837245736
overall,species_pair,all_pairs,core,450,-0.2470858763982704,1.0995683308148101e-7,-0.3319426915770595,-0.15826215622895878
overall,species_pair,all_pairs,extended,450,-0.21760951118886,3.1727585498588484e-6,-0.3039341918847521,-0.12774061038354903
overall,species_pair,different_species_only,core,432,-0.19821875175473214,3.336335830765092e-5,-0.2871943723278281,-0.10585179870302229
overall,species_pair,different_species_only,extended,432,-0.16590595399450916,5.355336038290189e-4,-0.2562416080156079,-0.07269734618074553
CNN,row,all_pairs,core,132,-0.20329713080583892,0.019389270186314984,-0.3616080756552588,-0.03359158956174043
ResNet,row,all_pairs,core,132,-0.1609909863988403,0.0651683681025986,-0.32297863380347325,0.01016097277357038
HYDRA,row,all_pairs,core,132,-0.23609574849863976,0.006422863137058805,-0.39118683058613357,-0.06796517531524891
MultiRocket,row,all_pairs,core,132,-0.3340269283878257,9.070002539988133e-5,-0.4776377210723035,-0.17303036733625285
RF,row,all_pairs,core,132,-0.32161649950279103,1.6966907498009814e-4,-0.466833899191591,-0.15950999265194638
LGBM,row,all_pairs,core,132,-0.30133795268349167,4.461548630403415e-4,-0.449086759231378,-0.13754790072134263
CNN,row,all_pairs,extended,132,-0.13513114026187073,0.12237844744924964,-0.2990973676007703,0.036586080977515575
ResNet,row,all_pairs,extended,132,-0.10324620580629372,0.23876567310571561,-0.2693665022378203,0.06884071918674209
HYDRA,row,all_pairs,extended,132,-0.17446650888612444,0.04541664163980009,-0.33534189944331116,-0.003704504020491988
MultiRocket,row,all_pairs,extended,132,-0.2657356327141811,0.002072801806714466,-0.41764414981697845,-0.09937552513570551
RF,row,all_pairs,extended,132,-0.269301607862889,0.0017931670334656357,-0.42080996433093887,-0.10317698111018454
LGBM,row,all_pairs,extended,132,-0.26769352536537505,0.0019147263057700196,-0.41938279166756837,-0.10146210713731947
CNN,row,different_species_only,core,126,-0.15902078160138367,0.0753136467945103,-0.32489123038185336,0.01634063398843997
ResNet,row,different_species_only,core,126,-0.10344245112210511,0.24904929548811172,-0.27340274960466127,0.07278128605802829
HYDRA,row,different_species_only,core,126,-0.16372735009304001,0.06696616022355865,-0.32920676066800203,0.011509158093022935
MultiRocket,row,different_species_only,core,126,-0.29322401965109984,8.616631168560363e-4,-0.44529322589049847,-0.12471325738211472
