code_norm,code_ma,behavior_en,main_class,ma_category_code,ma_category_de,model_use_ma
KKN,KKN,Foraging,Foraging,FOR,Nahrungssuche,TRUE
KKM,KKM,Foraging,Foraging,FOR,Nahrungssuche,TRUE
KKO,KKO,Foraging,Foraging,FOR,Nahrungssuche,TRUE
FVB,FVB,Foraging,Foraging,FOR,Nahrungssuche,TRUE
GRA,GRA,Foraging,Foraging,FOR,Nahrungssuche,TRUE
HFN,HFN,Foraging,Foraging,FOR,Nahrungssuche,TRUE
HFM,HFM,Foraging,Foraging,FOR,Nahrungssuche,TRUE
HFT,HFT,Foraging,Foraging,FOR,Nahrungssuche,TRUE
HFO,HFO,Foraging,Foraging,FOR,Nahrungssuche,TRUE
SKN,SKN,Resting,Resting,RES,Ruhen,TRUE
SKM,SKM,Resting,Resting,RES,Ruhen,TRUE
SKO,SKO,Resting,Resting,RES,Ruhen,TRUE
SLN,SLN,Resting,Resting,RES,Ruhen,TRUE
LIN,LIN,Resting,Resting,RES,Ruhen,TRUE
LIO,LIO,Resting,Resting,RES,Ruhen,TRUE
STL,STL,Resting,Resting,RES,Ruhen,TRUE
SCH,SCH,Locomotion,Locomotion,LOC,Fortbewegung,TRUE
TRB,TRB,Locomotion,Locomotion,LOC,Fortbewegung,TRUE
GAL,GAL,Locomotion,Locomotion,LOC,Fortbewegung,TRUE
PUT,PUT,Other,Other,OTH,Sonstiges,TRUE
SAB,SAB,Other,Other,OTH,Sonstiges,TRUE
GFP,GFP,Other,Other,OTH,Sonstiges,TRUE
KOS,KOS,Other,Other,OTH,Sonstiges,TRUE
TRK,TRK,Other,Other,OTH,Sonstiges,TRUE
WAL,WAL,Other,Other,OTH,Sonstiges,TRUE
