Code,Behavior
KlHoH,Locomotion
KlRuH,Locomotion
KlRuN,Locomotion
KlKÜ,Locomotion
HaVP,Locomotion
HaAP,Locomotion
GaW,Locomotion
GaG,Locomotion
LaW,Locomotion
LaG,Locomotion
WGeH,Locomotion
WGeN,Locomotion
WGeT,Locomotion
MGeT,Locomotion
GGeH,Locomotion
GGeN,Locomotion
GGeT,Locomotion
StH,Resting
StN,Resting
StT,Resting
StB,Resting
SiH,Resting
SiN,Resting
SiB,Resting
LiABH,Resting
LiLSH,Resting
LiLSN,Resting
LiRSH,Resting
LiRSN,Resting
LiLGH,Resting
LiLGN,Resting
LiRGH,Resting
LiRGN,Resting
LiAR,Resting
Su,Foraging
SuG,Foraging
SuHG,Foraging
SuM,Foraging
SuW,Foraging
StKH,Foraging
StKN,Foraging
StKB,Foraging
StFrBoT,Foraging
StFr,Foraging
StAHFrAPT,Foraging
StAHFr,Foraging
SiKH,Foraging
SiKN,Foraging
SiFr,Foraging
SiFrBoT,Foraging
SiFrAPT,Foraging
StHBWa,Foraging
SiWa,Foraging
StKrHO,Other
StAHKr,Other
StAHKrT,Other
StAHPu,Other
SiPu,Other
LiPu,Other
StAHSteilH,Other
StHo,Other
Tob,Other
Schütt,Other
