code_norm,code_ma,behavior_en,main_class,ma_category_code,ma_category_de,model_use_ma,exclude_reason
L,L,Running,Locomotion,Locomotion,Fortbewegung,TRUE,
G,G,Galloping,Locomotion,Locomotion,Fortbewegung,TRUE,
K,K,Climbing,Locomotion,Locomotion,Fortbewegung,TRUE,
H,H,Hanging,Locomotion,Locomotion,Fortbewegung,TRUE,
LAUFEN,Laufen,Running,Locomotion,Locomotion,Fortbewegung,TRUE,
GALOPP,Galopp,Galloping,Locomotion,Locomotion,Fortbewegung,TRUE,
KLETTERNKOPFOBEN,Klettern Kopf oben,Climbing head up,Locomotion,Locomotion,Fortbewegung,TRUE,
HANGEN,Hängen,Hanging,Locomotion,Locomotion,Fortbewegung,TRUE,
S,S,Sleeping,Resting,Resting,Ruhen,TRUE,
R,R,Resting,Resting,Resting,Ruhen,TRUE,
ST,ST,Standing,Resting,Resting,Ruhen,TRUE,
SI,SI,Sitting,Resting,Resting,Ruhen,TRUE,
SCHLAFEN,Schlafen,Sleeping,Resting,Resting,Ruhen,TRUE,
RUHEN,Ruhen,Resting,Resting,Resting,Ruhen,TRUE,
STEHEN,Stehen,Standing,Resting,Resting,Ruhen,TRUE,
SITZEN,Sitzen,Sitting,Resting,Resting,Ruhen,TRUE,
E,E,Eating,Foraging,Foraging,Nahrungssuche,TRUE,
SCH,SCH,Scraping on land,Foraging,Foraging,Nahrungssuche,TRUE,
SCHW,SCHW,Scraping in water,Foraging,Foraging,Nahrungssuche,TRUE,
ESSEN,Essen,Eating,Foraging,Foraging,Nahrungssuche,TRUE,
SCHABENLAND,Schaben Land,Scraping on land,Foraging,Foraging,Nahrungssuche,TRUE,
SCHABENWASSER,Schaben Wasser,Scraping in water,Foraging,Foraging,Nahrungssuche,TRUE,
P,P,Grooming,Other,Other,Sonstiges,TRUE,
PG,PG,Mutual grooming,Other,Other,Sonstiges,TRUE,
SU,SU,Shaking,Other,Other,Sonstiges,TRUE,
SUE,SUE,Shaking,Other,Other,Sonstiges,TRUE,
PUTZEN,Putzen,Grooming,Other,Other,Sonstiges,TRUE,
PUTZENGEGENSEITIG,Putzen Gegenseitig,Mutual grooming,Other,Other,Sonstiges,TRUE,
SCHUTTELN,Schütteln,Shaking,Other,Other,Sonstiges,TRUE,
SCHUETTELN,Schuetteln,Shaking,Other,Other,Sonstiges,TRUE,
LT,LT,Running at door,Other,Other,Sonstiges,TRUE,
U,U,Urinating,Other,Other,Sonstiges,TRUE,
EW,EW,Eating water,Other,Other,Sonstiges,TRUE,
KKU,KKU,Climbing head down,Other,Other,Sonstiges,TRUE,
KS,KS,Side climbing,Other,Other,Sonstiges,TRUE,
HD,HD,Hanging from ceiling,Other,Other,Sonstiges,TRUE,
KR,KR,Scratching,Other,Other,Sonstiges,TRUE,
KAL,KAL,Scratching logger,Other,Other,Sonstiges,TRUE,
AST,AST,Standing on two legs,Other,Other,Sonstiges,TRUE,
LAUFENTUR,Laufen Tür,Running at door,Other,Other,Sonstiges,TRUE,
URINIEREN,Urinieren,Urinating,Other,Other,Sonstiges,TRUE,
ESSENWASSER,Essen Wasser,Eating water,Other,Other,Sonstiges,TRUE,
KLETTERNKOPFUNTEN,Klettern Kopf unten,Climbing head down,Other,Other,Sonstiges,TRUE,
KLETTERNSEITLICH,Klettern Seitlich,Side climbing,Other,Other,Sonstiges,TRUE,
HANGENDECKE,Hängen Decke,Hanging from ceiling,Other,Other,Sonstiges,TRUE,
KRATZEN,Kratzen,Scratching,Other,Other,Sonstiges,TRUE,
KRATZENAMLOGGER,Kratzen am Logger,Scratching logger,Other,Other,Sonstiges,TRUE,
AUFZWEIBEINENSTEHEN,Auf zwei Beinen stehen,Standing on two legs,Other,Other,Sonstiges,TRUE,
SWI,SWI,Swimming,Other,Other,Excluded,FALSE,Excluded_extra
SCHWIMMEN,Schwimmen,Swimming,Other,Other,Excluded,FALSE,Excluded_extra
LST,L/St,Mixed running/standing,Other,Other,Excluded,FALSE,Excluded_extra
