model,group_1,group_2,n_pairs,statistic,median_diff,mean_diff,rank_biserial,p_value,p_label,p_adj_holm,p_adj_holm_label,direction
CNN,Foraging,Locomotion,12,22,-0.063,-0.095,-0.436,0.19553885910399538,0.196,0.19553885910399538,0.196,first < second
CNN,Foraging,Resting,12,8,-0.334,-0.268,-0.795,0.016728700389704677,0.017,0.05018610116911403,0.050,first < second
CNN,Locomotion,Resting,12,15,-0.134,-0.173,-0.615,0.0652572567829591,0.065,0.1305145135659182,0.131,first < second
ResNet,Foraging,Locomotion,12,22,-0.11,-0.101,-0.436,0.19553885910399538,0.196,0.19553885910399538,0.196,first < second
ResNet,Foraging,Resting,12,4,-0.22,-0.249,-0.897,0.006801651812875442,0.007,0.020404955438626325,0.020,first < second
ResNet,Locomotion,Resting,12,10,-0.076,-0.148,-0.744,0.025369859822053704,0.025,0.05073971964410741,0.051,first < second
HYDRA,Foraging,Locomotion,12,15,-0.142,-0.146,-0.615,0.0652572567829591,0.065,0.0652572567829591,0.065,first < second
HYDRA,Foraging,Resting,12,4,-0.272,-0.28,-0.897,0.006801651812875442,0.007,0.020404955438626325,0.020,first < second
HYDRA,Locomotion,Resting,12,9,-0.091,-0.133,-0.769,0.02065837724123902,0.021,0.04131675448247804,0.041,first < second
MultiRocket,Foraging,Locomotion,12,19,-0.077,-0.097,-0.513,0.12608955395259033,0.126,0.12608955395259033,0.126,first < second
MultiRocket,Foraging,Resting,12,4,-0.207,-0.25,-0.897,0.006801651812875442,0.007,0.020404955438626325,0.020,first < second
MultiRocket,Locomotion,Resting,12,8,-0.094,-0.153,-0.795,0.016728700389704677,0.017,0.033457400779409355,0.033,first < second
RF,Foraging,Locomotion,12,19,-0.079,-0.089,-0.513,0.12608955395259033,0.126,0.1305145135659182,0.131,first < second
RF,Foraging,Resting,12,3,-0.134,-0.239,-0.923,0.005355263589809519,0.005,0.016065790769428556,0.016,first < second
RF,Locomotion,Resting,12,15,-0.076,-0.15,-0.615,0.0652572567829591,0.065,0.1305145135659182,0.131,first < second
LGBM,Foraging,Locomotion,12,15,-0.071,-0.097,-0.615,0.0652572567829591,0.065,0.10922708790137826,0.109,first < second
LGBM,Foraging,Resting,12,3,-0.131,-0.245,-0.923,0.005355263589809519,0.005,0.016065790769428556,0.016,first < second
LGBM,Locomotion,Resting,12,14,-0.108,-0.148,-0.641,0.05461354395068913,0.055,0.10922708790137826,0.109,first < second
