dataset,model,resting_f1,locomotion_f1,foraging_f1
Bison_dataset_1,CNN,0.899,0.588,0.499
Bison_dataset_1,ResNet,0.831,0.651,0.579
Bison_dataset_1,HYDRA,0.877,0.624,0.608
Bison_dataset_1,MultiRocket,0.916,0.612,0.646
Bison_dataset_1,RF,0.914,0.513,0.546
Bison_dataset_1,LGBM,0.916,0.555,0.546
Cattle_dataset_1,CNN,0.941,0.184,0.365
Cattle_dataset_1,ResNet,0.948,0.28,0.379
Cattle_dataset_1,HYDRA,0.897,0.517,0.202
Cattle_dataset_1,MultiRocket,0.906,0.326,0.247
Cattle_dataset_1,RF,0.951,0.369,0.345
Cattle_dataset_1,LGBM,0.948,0.387,0.334
Dog_dataset_1,CNN,0.71,0.717,0.374
Dog_dataset_1,ResNet,0.734,0.68,0.532
Dog_dataset_1,HYDRA,0.756,0.712,0.48
Dog_dataset_1,MultiRocket,0.769,0.741,0.615
Dog_dataset_1,RF,0.786,0.814,0.664
Dog_dataset_1,LGBM,0.79,0.806,0.667
Dog_dataset_2,CNN,0.532,0.564,0.318
Dog_dataset_2,ResNet,0.521,0.488,0.312
Dog_dataset_2,HYDRA,0.405,0.554,0.32
Dog_dataset_2,MultiRocket,0.469,0.546,0.322
Dog_dataset_2,RF,0.425,0.616,0.338
Dog_dataset_2,LGBM,0.446,0.596,0.331
Fox_dataset_1,CNN,0.607,0.648,0.611
Fox_dataset_1,ResNet,0.811,0.741,0.768
Fox_dataset_1,HYDRA,0.751,0.695,0.708
Fox_dataset_1,MultiRocket,0.78,0.682,0.723
Fox_dataset_1,RF,0.708,0.695,0.636
Fox_dataset_1,LGBM,0.755,0.692,0.662
Fox_dataset_2,CNN,0.817,0.688,0.324
Fox_dataset_2,ResNet,0.644,0.691,0.367
Fox_dataset_2,HYDRA,0.945,0.862,0.469
Fox_dataset_2,MultiRocket,0.855,0.776,0.414
Fox_dataset_2,RF,0.983,0.886,0.488
Fox_dataset_2,LGBM,0.983,0.882,0.485
Giraffe_dataset_1,CNN,0.321,0.012,0.578
Giraffe_dataset_1,ResNet,0.472,0.211,0.616
Giraffe_dataset_1,HYDRA,0.476,0.478,0.563
Giraffe_dataset_1,MultiRocket,0.54,0.405,0.623
Giraffe_dataset_1,RF,0.514,0.166,0.586
Giraffe_dataset_1,LGBM,0.515,0.304,0.58
Hedgehog_dataset_1,CNN,0.818,0.578,0.058
Hedgehog_dataset_1,ResNet,0.822,0.613,0.016
Hedgehog_dataset_1,HYDRA,0.825,0.512,0.143
Hedgehog_dataset_1,MultiRocket,0.825,0.461,0.128
Hedgehog_dataset_1,RF,0.828,0.496,0.131
Hedgehog_dataset_1,LGBM,0.827,0.463,0.131
Horse_dataset_1,CNN,0.7,0.864,0.846
Horse_dataset_1,ResNet,0.903,0.895,0.912
Horse_dataset_1,HYDRA,0.878,0.766,0.86
Horse_dataset_1,MultiRocket,0.875,0.785,0.869
Horse_dataset_1,RF,0.885,0.83,0.879
Horse_dataset_1,LGBM,0.89,0.775,0.864
Horse_dataset_2,CNN,0.811,0.801,0.479
Horse_dataset_2,ResNet,0.794,0.904,0.6
Horse_dataset_2,HYDRA,0.81,0.793,0.402
Horse_dataset_2,MultiRocket,0.776,0.838,0.515
Horse_dataset_2,RF,0.799,0.949,0.757
Horse_dataset_2,LGBM,0.784,0.944,0.745
Raccoon_dataset_1,CNN,0.77,0.631,0.604
Raccoon_dataset_1,ResNet,0.757,0.675,0.525
Raccoon_dataset_1,HYDRA,0.729,0.631,0.578
Raccoon_dataset_1,MultiRocket,0.677,0.678,0.603
Raccoon_dataset_1,RF,0.754,0.706,0.608
Raccoon_dataset_1,LGBM,0.743,0.694,0.604
Raccoon_dataset_2,CNN,0.891,0.462,0.545
Raccoon_dataset_2,ResNet,0.94,0.567,0.578
Raccoon_dataset_2,HYDRA,0.937,0.546,0.599
Raccoon_dataset_2,MultiRocket,0.932,0.63,0.611
Raccoon_dataset_2,RF,0.959,0.671,0.663
Raccoon_dataset_2,LGBM,0.942,0.661,0.648
