dataset,model,behavior,support,predicted,true_positive,recall,precision,cross_dataset_f1
Bison_dataset_1,CNN,Resting,4276,5153,4237,0.991,0.822,0.899
Bison_dataset_1,CNN,Locomotion,749,778,449,0.599,0.577,0.588
Bison_dataset_1,CNN,Foraging,2011,1105,778,0.387,0.704,0.499
Bison_dataset_1,ResNet,Resting,4276,4133,3496,0.818,0.846,0.831
Bison_dataset_1,ResNet,Locomotion,749,529,416,0.555,0.786,0.651
Bison_dataset_1,ResNet,Foraging,2011,2374,1270,0.632,0.535,0.579
Bison_dataset_1,HYDRA,Resting,4276,4344,3778,0.884,0.87,0.877
Bison_dataset_1,HYDRA,Locomotion,749,861,502,0.67,0.583,0.624
Bison_dataset_1,HYDRA,Foraging,2011,1831,1168,0.581,0.638,0.608
Bison_dataset_1,MultiRocket,Resting,4276,4503,4020,0.94,0.893,0.916
Bison_dataset_1,MultiRocket,Locomotion,749,915,509,0.68,0.556,0.612
Bison_dataset_1,MultiRocket,Foraging,2011,1618,1173,0.583,0.725,0.646
Bison_dataset_1,RF,Resting,4276,4989,4236,0.991,0.849,0.914
Bison_dataset_1,RF,Locomotion,749,764,388,0.518,0.508,0.513
Bison_dataset_1,RF,Foraging,2011,1283,899,0.447,0.701,0.546
Bison_dataset_1,LGBM,Resting,4276,4959,4229,0.989,0.853,0.916
Bison_dataset_1,LGBM,Locomotion,749,872,450,0.601,0.516,0.555
Bison_dataset_1,LGBM,Foraging,2011,1205,878,0.437,0.729,0.546
Cattle_dataset_1,CNN,Resting,3152,3337,3054,0.969,0.915,0.941
Cattle_dataset_1,CNN,Locomotion,710,74,72,0.101,0.973,0.184
Cattle_dataset_1,CNN,Foraging,426,877,238,0.559,0.271,0.365
Cattle_dataset_1,ResNet,Resting,3152,3284,3050,0.968,0.929,0.948
Cattle_dataset_1,ResNet,Locomotion,710,148,120,0.169,0.811,0.28
Cattle_dataset_1,ResNet,Foraging,426,856,243,0.57,0.284,0.379
Cattle_dataset_1,HYDRA,Resting,3152,2948,2736,0.868,0.928,0.897
Cattle_dataset_1,HYDRA,Locomotion,710,578,333,0.469,0.576,0.517
Cattle_dataset_1,HYDRA,Foraging,426,762,120,0.282,0.157,0.202
Cattle_dataset_1,MultiRocket,Resting,3152,3073,2819,0.894,0.917,0.906
Cattle_dataset_1,MultiRocket,Locomotion,710,345,172,0.242,0.499,0.326
Cattle_dataset_1,MultiRocket,Foraging,426,870,160,0.376,0.184,0.247
Cattle_dataset_1,RF,Resting,3152,3155,3000,0.952,0.951,0.951
Cattle_dataset_1,RF,Locomotion,710,277,182,0.256,0.657,0.369
