source_species,target_species,core_gower_distance,extended_gower_distance,same_species
Bison bonasus,Bison bonasus,0,0,TRUE
Bison bonasus,Bos taurus,0.01189,0.008323,FALSE
Bison bonasus,Canis lupus familiaris,0.582114,0.60748,FALSE
Bison bonasus,Equus caballus,0.323545,0.226481,FALSE
Bison bonasus,Equus ferus przewalskii,0.323545,0.226481,FALSE
Bison bonasus,Erinaceus europaeus,0.702396,0.791677,FALSE
Bison bonasus,Giraffa camelopardalis,0.440461,0.408323,FALSE
Bison bonasus,Procyon lotor,0.567323,0.597126,FALSE
Bison bonasus,Vulpes vulpes,0.615121,0.630585,FALSE
Bos taurus,Bison bonasus,0.01189,0.008323,FALSE
Bos taurus,Bos taurus,0,0,TRUE
Bos taurus,Canis lupus familiaris,0.594003,0.615802,FALSE
Bos taurus,Equus caballus,0.335434,0.234804,FALSE
Bos taurus,Equus ferus przewalskii,0.335434,0.234804,FALSE
Bos taurus,Erinaceus europaeus,0.714286,0.8,FALSE
Bos taurus,Giraffa camelopardalis,0.428572,0.4,FALSE
Bos taurus,Procyon lotor,0.579212,0.605449,FALSE
Bos taurus,Vulpes vulpes,0.627011,0.638908,FALSE
Canis lupus familiaris,Bison bonasus,0.582114,0.60748,FALSE
Canis lupus familiaris,Bos taurus,0.594003,0.615802,FALSE
Canis lupus familiaris,Canis lupus familiaris,0,0,TRUE
Canis lupus familiaris,Equus caballus,0.258569,0.380998,FALSE
Canis lupus familiaris,Equus ferus przewalskii,0.258569,0.380998,FALSE
Canis lupus familiaris,Erinaceus europaeus,0.786949,0.850864,FALSE
Canis lupus familiaris,Giraffa camelopardalis,0.641622,0.649136,FALSE
Canis lupus familiaris,Procyon lotor,0.461399,0.52298,FALSE
Canis lupus familiaris,Vulpes vulpes,0.033007,0.123105,FALSE
Equus caballus,Bison bonasus,0.323545,0.226481,FALSE
Equus caballus,Bos taurus,0.335434,0.234804,FALSE
Equus caballus,Canis lupus familiaris,0.258569,0.380998,FALSE
Equus caballus,Equus caballus,0,0,TRUE
Equus caballus,Equus ferus przewalskii,0,0,FALSE
Equus caballus,Erinaceus europaeus,0.759804,0.831863,FALSE
Equus caballus,Giraffa camelopardalis,0.52591,0.468137,FALSE
Equus caballus,Procyon lotor,0.577112,0.603978,FALSE
Equus caballus,Vulpes vulpes,0.291577,0.404104,FALSE
Equus ferus przewalskii,Bison bonasus,0.323545,0.226481,FALSE
Equus ferus przewalskii,Bos taurus,0.335434,0.234804,FALSE
Equus ferus przewalskii,Canis lupus familiaris,0.258569,0.380998,FALSE
Equus ferus przewalskii,Equus caballus,0,0,FALSE
Equus ferus przewalskii,Equus ferus przewalskii,0,0,TRUE
Equus ferus przewalskii,Erinaceus europaeus,0.759804,0.831863,FALSE
Equus ferus przewalskii,Giraffa camelopardalis,0.52591,0.468137,FALSE
Equus ferus przewalskii,Procyon lotor,0.577112,0.603978,FALSE
Equus ferus przewalskii,Vulpes vulpes,0.291577,0.404104,FALSE
Erinaceus europaeus,Bison bonasus,0.702396,0.791677,FALSE
Erinaceus europaeus,Bos taurus,0.714286,0.8,FALSE
Erinaceus europaeus,Canis lupus familiaris,0.786949,0.850864,FALSE
Erinaceus europaeus,Equus caballus,0.759804,0.831863,FALSE
Erinaceus europaeus,Equus ferus przewalskii,0.759804,0.831863,FALSE
Erinaceus europaeus,Erinaceus europaeus,0,0,TRUE
Erinaceus europaeus,Giraffa camelopardalis,0.857143,0.9,FALSE
Erinaceus europaeus,Procyon lotor,0.706502,0.694551,FALSE
Erinaceus europaeus,Vulpes vulpes,0.753942,0.827759,FALSE
Giraffa camelopardalis,Bison bonasus,0.440461,0.408323,FALSE
Giraffa camelopardalis,Bos taurus,0.428572,0.4,FALSE
Giraffa camelopardalis,Canis lupus familiaris,0.641622,0.649136,FALSE
Giraffa camelopardalis,Equus caballus,0.52591,0.468137,FALSE
Giraffa camelopardalis,Equus ferus przewalskii,0.52591,0.468137,FALSE
Giraffa camelopardalis,Erinaceus europaeus,0.857143,0.9,FALSE
Giraffa camelopardalis,Giraffa camelopardalis,0,0,TRUE
Giraffa camelopardalis,Procyon lotor,0.722069,0.705449,FALSE
Giraffa camelopardalis,Vulpes vulpes,0.67463,0.672241,FALSE
Procyon lotor,Bison bonasus,0.567323,0.597126,FALSE
Procyon lotor,Bos taurus,0.579212,0.605449,FALSE
Procyon lotor,Canis lupus familiaris,0.461399,0.52298,FALSE
Procyon lotor,Equus caballus,0.577112,0.603978,FALSE
Procyon lotor,Equus ferus przewalskii,0.577112,0.603978,FALSE
Procyon lotor,Erinaceus europaeus,0.706502,0.694551,FALSE
Procyon lotor,Giraffa camelopardalis,0.722069,0.705449,FALSE
Procyon lotor,Procyon lotor,0,0,TRUE
Procyon lotor,Vulpes vulpes,0.428751,0.500126,FALSE
Vulpes vulpes,Bison bonasus,0.615121,0.630585,FALSE
Vulpes vulpes,Bos taurus,0.627011,0.638908,FALSE
Vulpes vulpes,Canis lupus familiaris,0.033007,0.123105,FALSE
Vulpes vulpes,Equus caballus,0.291577,0.404104,FALSE
Vulpes vulpes,Equus ferus przewalskii,0.291577,0.404104,FALSE
Vulpes vulpes,Erinaceus europaeus,0.753942,0.827759,FALSE
Vulpes vulpes,Giraffa camelopardalis,0.67463,0.672241,FALSE
Vulpes vulpes,Procyon lotor,0.428751,0.500126,FALSE
Vulpes vulpes,Vulpes vulpes,0,0,TRUE
