source_species,target_species,model,mean_macro_f1,n_dataset_pairs,core_gower_distance,extended_gower_distance,same_species,excluded_from_primary_h3
Bison bonasus,Bos taurus,CNN,0.31329040390837853,1,0.012405848471422263,0.00789463084545053,FALSE,no
Bison bonasus,Canis lupus familiaris,CNN,0.38218440949823007,2,0.5846150600248959,0.4629368563794793,FALSE,no
Bison bonasus,Equus caballus,CNN,0.510979217412349,1,0.27652594046036666,0.17597105302023333,FALSE,no
Bison bonasus,Equus ferus przewalskii,CNN,0.8539197237728091,1,0.2694157858092284,0.17144640915132717,FALSE,no
Bison bonasus,Erinaceus europaeus,CNN,0.36624606511040886,1,0.7733084372428635,0.8557417327909131,FALSE,no
Bison bonasus,Giraffa camelopardalis,CNN,0.18505864883670012,1,0.4409772770428509,0.37153099448181415,FALSE,no
Bison bonasus,Procyon lotor,CNN,0.5066734826552332,2,0.6664767812308795,0.6362428001772263,FALSE,no
Bison bonasus,Vulpes vulpes,CNN,0.5114646496325441,2,0.6190476190476192,0.4848484848484849,FALSE,no
Bos taurus,Bison bonasus,CNN,0.3781176715146752,1,0.012405848471422263,0.00789463084545053,FALSE,no
Bos taurus,Canis lupus familiaris,CNN,0.2605712215026258,2,0.5970209084963184,0.47083148722492985,FALSE,no
Bos taurus,Equus caballus,CNN,0.1252773165960493,1,0.28893178893178895,0.18386568386568386,FALSE,no
Bos taurus,Equus ferus przewalskii,CNN,0.6899736140861471,1,0.28182163428065066,0.1793410399967777,FALSE,no
Bos taurus,Erinaceus europaeus,CNN,0.17569028225251007,1,0.7857142857142857,0.8636363636363636,FALSE,no
Bos taurus,Giraffa camelopardalis,CNN,0.23773174316183068,1,0.42857142857142855,0.36363636363636365,FALSE,no
Bos taurus,Procyon lotor,CNN,0.29590082622691316,2,0.6788826297023017,0.6441374310226768,FALSE,no
Bos taurus,Vulpes vulpes,CNN,0.163109126661272,2,0.6314534675190414,0.4927431156939354,FALSE,no
Canis lupus familiaris,Bison bonasus,CNN,0.367724091001112,2,0.5846150600248959,0.4629368563794793,FALSE,no
Canis lupus familiaris,Bos taurus,CNN,0.45036603561561483,2,0.5970209084963184,0.47083148722492985,FALSE,no
Canis lupus familiaris,Canis lupus familiaris,CNN,0.45522908686414876,2,0,0,TRUE,yes
Canis lupus familiaris,Equus caballus,CNN,0.5046682634231066,2,0.3080891195645294,0.286965803359246,FALSE,no
Canis lupus familiaris,Equus ferus przewalskii,CNN,0.3753347929522046,2,0.3151992742156676,0.2914904472281521,FALSE,no
Canis lupus familiaris,Erinaceus europaeus,CNN,0.40281184365011863,2,0.7125029010274913,0.817047300653858,FALSE,no
Canis lupus familiaris,Giraffa camelopardalis,CNN,0.19517638487411587,2,0.644639956115366,0.5920436084370511,FALSE,no
Canis lupus familiaris,Procyon lotor,CNN,0.4511105815023484,4,0.5580521973964597,0.567245337737141,FALSE,no
Canis lupus familiaris,Vulpes vulpes,CNN,0.45756276239649196,4,0.03443255902272295,0.11282071937809643,FALSE,no
Equus caballus,Bison bonasus,CNN,0.2249045002479142,1,0.27652594046036666,0.17597105302023333,FALSE,no
Equus caballus,Bos taurus,CNN,0.10554220186389762,1,0.28893178893178895,0.18386568386568386,FALSE,no
Equus caballus,Canis lupus familiaris,CNN,0.6198799092001384,2,0.3080891195645294,0.286965803359246,FALSE,no
Equus caballus,Equus ferus przewalskii,CNN,0.39639484101129713,1,0.0071101546511382575,0.004524643868906164,FALSE,no
Equus caballus,Erinaceus europaeus,CNN,0.09207702013411911,1,0.7348777348777348,0.8312858312858311,FALSE,no
Equus caballus,Giraffa camelopardalis,CNN,0.20278992091800588,1,0.4794079794079794,0.39598689598689596,FALSE,no
Equus caballus,Procyon lotor,CNN,0.5060858302153948,2,0.6280460788657509,0.6117868986721445,FALSE,no
Equus caballus,Vulpes vulpes,CNN,0.5455520786966704,2,0.3425216785872523,0.30887743182825145,FALSE,no
Equus ferus przewalskii,Bison bonasus,CNN,0.8512526687766356,1,0.2694157858092284,0.17144640915132717,FALSE,no
Equus ferus przewalskii,Bos taurus,CNN,0.4535499123929845,1,0.28182163428065066,0.1793410399967777,FALSE,no
Equus ferus przewalskii,Canis lupus familiaris,CNN,0.28434828509623755,2,0.3151992742156676,0.2914904472281521,FALSE,no
Equus ferus przewalskii,Equus caballus,CNN,0.20855978769005992,1,0.0071101546511382575,0.004524643868906164,FALSE,no
Equus ferus przewalskii,Erinaceus europaeus,CNN,0.3740584115237215,1,0.7419878895288731,0.8358104751547374,FALSE,no
Equus ferus przewalskii,Giraffa camelopardalis,CNN,0.19888245024805223,1,0.4722978247568412,0.39146225211798985,FALSE,no
Equus ferus przewalskii,Procyon lotor,CNN,0.49053753135351,2,0.6351562335168891,0.6163115425410507,FALSE,no
Equus ferus przewalskii,Vulpes vulpes,CNN,0.42181041289583493,2,0.34963183323839064,0.31340207569715767,FALSE,no
Erinaceus europaeus,Bison bonasus,CNN,0.3094859604973272,1,0.7733084372428635,0.8557417327909131,FALSE,no
Erinaceus europaeus,Bos taurus,CNN,0.2994572240889119,1,0.7857142857142857,0.8636363636363636,FALSE,no
Erinaceus europaeus,Canis lupus familiaris,CNN,0.4237761272189493,2,0.7125029010274913,0.817047300653858,FALSE,no
Erinaceus europaeus,Equus caballus,CNN,0.39204418624656984,1,0.7348777348777348,0.8312858312858311,FALSE,no
Erinaceus europaeus,Equus ferus przewalskii,CNN,0.1943415324503515,1,0.7419878895288731,0.8358104751547374,FALSE,no
Erinaceus europaeus,Giraffa camelopardalis,CNN,0.18082674224759648,1,0.9285714285714286,0.9545454545454546,FALSE,no
Erinaceus europaeus,Procyon lotor,CNN,0.26040851289268546,2,0.6782602274405554,0.6740443871591414,FALSE,no
Erinaceus europaeus,Vulpes vulpes,CNN,0.14757264839097645,2,0.6780703420047682,0.7951356721848526,FALSE,no
Giraffa camelopardalis,Bison bonasus,CNN,0.11164785974459313,1,0.4409772770428509,0.37153099448181415,FALSE,no
Giraffa camelopardalis,Bos taurus,CNN,0.06024607551972846,1,0.42857142857142855,0.36363636363636365,FALSE,no
Giraffa camelopardalis,Canis lupus familiaris,CNN,0.13982466126089735,2,0.644639956115366,0.5920436084370511,FALSE,no
Giraffa camelopardalis,Equus caballus,CNN,0.11380815120100468,1,0.4794079794079794,0.39598689598689596,FALSE,no
Giraffa camelopardalis,Equus ferus przewalskii,CNN,0.22511054826114943,1,0.4722978247568412,0.39146225211798985,FALSE,no
Giraffa camelopardalis,Erinaceus europaeus,CNN,0.06862745098039216,1,0.9285714285714286,0.9545454545454546,FALSE,no
Giraffa camelopardalis,Procyon lotor,CNN,0.18679910474082181,2,0.8217397725594446,0.7350465219317678,FALSE,no
Giraffa camelopardalis,Vulpes vulpes,CNN,0.20785658201688514,2,0.679072515138089,0.6139552369060566,FALSE,no
Procyon lotor,Bison bonasus,CNN,0.42313911232428036,2,0.6664767812308795,0.6362428001772263,FALSE,no
Procyon lotor,Bos taurus,CNN,0.25963332453010873,2,0.6788826297023017,0.6441374310226768,FALSE,no
Procyon lotor,Canis lupus familiaris,CNN,0.4220296971531358,4,0.5580521973964597,0.567245337737141,FALSE,no
Procyon lotor,Equus caballus,CNN,0.5410935480997755,2,0.6280460788657509,0.6117868986721445,FALSE,no
Procyon lotor,Equus ferus przewalskii,CNN,0.4484566343901675,2,0.6351562335168891,0.6163115425410507,FALSE,no
Procyon lotor,Erinaceus europaeus,CNN,0.43351407480288867,2,0.6782602274405554,0.6740443871591414,FALSE,no
Procyon lotor,Giraffa camelopardalis,CNN,0.35923067495875877,2,0.8217397725594446,0.7350465219317678,FALSE,no
Procyon lotor,Procyon lotor,CNN,0.4818251042497773,2,0,0,TRUE,yes
Procyon lotor,Vulpes vulpes,CNN,0.6079847862149221,4,0.523999409245311,0.5455753816409554,FALSE,no
Vulpes vulpes,Bison bonasus,CNN,0.46924399356099117,2,0.6190476190476192,0.4848484848484849,FALSE,no
Vulpes vulpes,Bos taurus,CNN,0.1727272556493304,2,0.6314534675190414,0.4927431156939354,FALSE,no
Vulpes vulpes,Canis lupus familiaris,CNN,0.26852047604181234,4,0.03443255902272295,0.11282071937809643,FALSE,no
Vulpes vulpes,Equus caballus,CNN,0.27078955348297895,2,0.3425216785872523,0.30887743182825145,FALSE,no
Vulpes vulpes,Equus ferus przewalskii,CNN,0.44351530808923195,2,0.34963183323839064,0.31340207569715767,FALSE,no
