analysis_type,scope,model,dropped_component,aggregation_level,n,estimate,ci_low,ci_high,p_value,delta_rho,n_boot,source_file
bootstrap_ci,row_diff,overall,NA,row_diff,756,-0.183317,-0.249253,-0.112063,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,overall,NA,species_pair_diff,432,-0.198219,-0.281895,-0.104015,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,row_diff,CNN,NA,row_diff,126,-0.159021,-0.318364,0.006424,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,CNN,NA,species_pair_diff,72,-0.175046,-0.388582,0.047625,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,row_diff,ResNet,NA,row_diff,126,-0.103442,-0.28168,0.083081,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,ResNet,NA,species_pair_diff,72,-0.089871,-0.32809,0.152734,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,row_diff,HYDRA,NA,row_diff,126,-0.163727,-0.330886,0.016082,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,HYDRA,NA,species_pair_diff,72,-0.116697,-0.342998,0.133353,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,row_diff,MultiRocket,NA,row_diff,126,-0.293224,-0.438819,-0.141405,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,MultiRocket,NA,species_pair_diff,72,-0.289684,-0.465127,-0.087855,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,row_diff,RF,NA,row_diff,126,-0.285546,-0.436979,-0.123583,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,RF,NA,species_pair_diff,72,-0.322172,-0.507536,-0.12826,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,row_diff,LGBM,NA,row_diff,126,-0.279741,-0.448475,-0.112192,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
bootstrap_ci,species_pair_diff,LGBM,NA,species_pair_diff,72,-0.366496,-0.542843,-0.15946,NA,NA,1000,Output_R/H3_sensitivity/csv/04_bootstrap_ci.csv
leave_one_trait_out,species_pair_different_species,overall,body_configuration_type,NA,432,-0.159977,NA,NA,8.470384431942147e-4,0.038241,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,dominant_feeding_foraging_mode,NA,432,-0.206801,NA,NA,1.4726124120196511e-5,-0.008582,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,dominant_locomotor_mode,NA,432,-0.252701,NA,NA,1.0167122470652989e-7,-0.054482,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,expected_directional_change_tendency,NA,432,-0.152716,NA,NA,0.00145439448377404,0.045503,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,432,-0.151651,NA,NA,0.00157137906433949,0.046568,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,expected_trunk_motion_amplitude,NA,432,-0.158492,NA,NA,9.478129655001804e-4,0.039726,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,log_body_mass_g,NA,432,-0.18192,NA,NA,1.4356483490430652e-4,0.016299,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,overall,none (full model),NA,432,-0.198219,NA,NA,3.336335830765092e-5,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,body_configuration_type,NA,72,-0.127441,NA,NA,0.28606183955157016,0.047605,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,dominant_feeding_foraging_mode,NA,72,-0.182959,NA,NA,0.12397495442524809,-0.007913,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,dominant_locomotor_mode,NA,72,-0.238026,NA,NA,0.04407144796512604,-0.06298,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,expected_directional_change_tendency,NA,72,-0.109299,NA,NA,0.360746056625297,0.065747,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.13061,NA,NA,0.2741498907674498,0.044436,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,expected_trunk_motion_amplitude,NA,72,-0.144231,NA,NA,0.22675721736397636,0.030815,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,log_body_mass_g,NA,72,-0.12449,NA,NA,0.2974560329025224,0.050556,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,CNN,none (full model),NA,72,-0.175046,NA,NA,0.14137239155514608,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,body_configuration_type,NA,72,-0.054617,NA,NA,0.6486248763441493,0.035254,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,dominant_feeding_foraging_mode,NA,72,-0.096433,NA,NA,0.42034698616620647,-0.006562,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,dominant_locomotor_mode,NA,72,-0.135032,NA,NA,0.25808972737070845,-0.045161,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,expected_directional_change_tendency,NA,72,-0.055003,NA,NA,0.6463070230417611,0.034868,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.021554,NA,NA,0.8573801593131936,0.068317,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,expected_trunk_motion_amplitude,NA,72,-0.037698,NA,NA,0.7532222384258971,0.052173,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,log_body_mass_g,NA,72,-0.051619,NA,NA,0.6667401153017387,0.038252,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,none (full model),NA,72,-0.089871,NA,NA,0.45279969619409266,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,body_configuration_type,NA,72,-0.060472,NA,NA,0.6138398053269727,0.056226,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,dominant_feeding_foraging_mode,NA,72,-0.145518,NA,NA,0.22259642738455912,-0.02882,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,dominant_locomotor_mode,NA,72,-0.219435,NA,NA,0.06402309648697345,-0.102737,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,expected_directional_change_tendency,NA,72,-0.059249,NA,NA,0.6210360833886515,0.057448,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.116744,NA,NA,0.32875889670643266,-4.7e-5,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,expected_trunk_motion_amplitude,NA,72,-0.091737,NA,NA,0.4434348216220765,0.024961,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,log_body_mass_g,NA,72,-0.091526,NA,NA,0.4444856441128795,0.025171,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,none (full model),NA,72,-0.116697,NA,NA,0.3289557997342587,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,body_configuration_type,NA,72,-0.230114,NA,NA,0.05182461061312387,0.059571,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,dominant_feeding_foraging_mode,NA,72,-0.315546,NA,NA,0.00693419872415711,-0.025861,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,dominant_locomotor_mode,NA,72,-0.376468,NA,NA,0.00111676880058861,-0.086783,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,expected_directional_change_tendency,NA,72,-0.210428,NA,NA,0.07602742698940995,0.079256,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.221683,NA,NA,0.06127914991292792,0.068002,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,expected_trunk_motion_amplitude,NA,72,-0.232687,NA,NA,0.04918932588385552,0.056998,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,log_body_mass_g,NA,72,-0.290087,NA,NA,0.01344375325282855,-4.03e-4,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,none (full model),NA,72,-0.289684,NA,NA,0.0135792074394742,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,body_configuration_type,NA,72,-0.271736,NA,NA,0.02094164786650382,0.050436,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,dominant_feeding_foraging_mode,NA,72,-0.340506,NA,NA,0.00342551424385965,-0.018334,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
