dataset_id,behavior,retained_windows,total_retained_windows,retained_windows_percent
Bison_dataset_1,Resting,4276,7036,60.77316657191586
Bison_dataset_1,Locomotion,749,7036,10.64525298465037
Bison_dataset_1,Foraging,2011,7036,28.58158044343377
Cattle_dataset_1,Resting,3152,4288,73.50746268656717
Cattle_dataset_1,Locomotion,710,4288,16.557835820895523
Cattle_dataset_1,Foraging,426,4288,9.934701492537313
Dog_dataset_1,Resting,2055,5049,40.70112893642305
Dog_dataset_1,Locomotion,1671,5049,33.095662507427214
Dog_dataset_1,Foraging,1323,5049,26.203208556149733
Dog_dataset_2,Resting,1159,2387,48.5546711353163
Dog_dataset_2,Locomotion,822,2387,34.43653121072476
Dog_dataset_2,Foraging,406,2387,17.008797653958943
Fox_dataset_1,Resting,37385,68319,54.72123421010261
Fox_dataset_1,Locomotion,23696,68319,34.684348424303636
Fox_dataset_1,Foraging,7238,68319,10.594417365593758
Fox_dataset_2,Resting,172,913,18.838992332968235
Fox_dataset_2,Locomotion,320,913,35.049288061336256
Fox_dataset_2,Foraging,421,913,46.11171960569551
Giraffe_dataset_1,Resting,4236,11568,36.61825726141079
Giraffe_dataset_1,Locomotion,2418,11568,20.902489626556015
Giraffe_dataset_1,Foraging,4914,11568,42.47925311203319
Hedgehog_dataset_1,Resting,651,1037,62.77724204435873
Hedgehog_dataset_1,Locomotion,267,1037,25.747348119575697
Hedgehog_dataset_1,Foraging,119,1037,11.475409836065573
Horse_dataset_1,Resting,983,3723,26.403438087563792
Horse_dataset_1,Locomotion,643,3723,17.271017996239593
Horse_dataset_1,Foraging,2097,3723,56.325543916196615
Horse_dataset_2,Resting,2331,40997,5.685781886479498
Horse_dataset_2,Locomotion,30508,40997,74.4152011122765
Horse_dataset_2,Foraging,8158,40997,19.899017001243994
Raccoon_dataset_1,Resting,162,567,28.571428571428573
Raccoon_dataset_1,Locomotion,243,567,42.857142857142854
Raccoon_dataset_1,Foraging,162,567,28.571428571428573
Raccoon_dataset_2,Resting,436,783,55.68326947637293
Raccoon_dataset_2,Locomotion,148,783,18.901660280970624
Raccoon_dataset_2,Foraging,199,783,25.415070242656448
